year,life_expectancy,undernourishment,CO2,health_expenditure,education_expenditure,unemployment,sanitation,country_id,continent_id,income_group_id
2001,72.805,,230.0,5.62456989,,,,62,5,2
2001,66.70926829268294,,,,,,85.9105649,63,5,3
2001,68.304,22.2,9810.0,6.07015848,,2.78399991989136,,64,5,2
2001,75.373,,,,,13.210000038147,,65,4,3
2001,65.532,6.5,1640.0,3.05506778,8.39729976654053,11.8149995803833,,66,3,2
2001,70.976,21.9,5800.0,5.92998314,,4.0,40.75284943,67,5,1
2001,74.51292682926831,6.8,19200.0,7.2349987,,15.8199996948242,77.92698976,68,2,3
2001,57.382,50.7,1600.0,3.73088169,,9.63300037384033,,69,5,1
2001,72.2487804878049,2.5,56280.0,6.82614756,4.9310097694397,5.67000007629395,63.58014119,70,2,3
2001,66.037,19.2,302060.0,2.1185019,2.46003007888794,6.07999992370605,,71,0,1
2001,62.907,18.4,953540.0,4.26278114,,5.57600021362305,7.847825482,72,0,1
2001,77.13414634146342,2.5,44820.0,6.39664602,4.08749008178711,3.6800000667572,55.44309298,73,2,3
2001,68.983,22.1,97550.0,,,8.80700016021729,33.4111699,74,0,2
2001,80.69024390243904,2.5,2160.0,8.78546429,6.70592021942139,1.87000000476837,43.87972331,75,2,3
2001,79.40731707317074,2.5,57950.0,7.20983076,6.3739800453186,11.8100004196167,80.57320446,76,0,3
2001,80.12682926829268,2.5,436570.0,7.73760843,4.65009021759033,9.60000038146973,95.64344875,77,2,3
2001,74.139,7.4,10080.0,5.15652943,5.38103008270264,14.9300003051758,,78,5,2
2001,71.907,9.7,16250.0,9.58549213,,14.6999998092651,75.52049492,79,0,2
2001,81.41707317073171,2.5,1170380.0,7.23947954,3.40082001686096,5.01999998092651,73.4801356,80,0,3
2001,65.76,6.5,117440.0,3.47096992,,10.4300003051758,,81,0,2
2001,51.101,32.2,7610.0,4.80369139,5.20621013641357,2.98900008201599,,82,1,1
2001,59.335,23.6,2150.0,7.01192331,1.72221994400024,1.03299999237061,,83,0,1
2001,63.446,4.4,30.0,12.32934475,11.9881200790405,,16.81369079,84,4,1
2001,73.21,2.6,53190.0,3.18838811,6.5858302116394,0.800000011920929,100.0,85,0,3
2001,74.999,7.8,16890.0,10.56592274,2.84148001670837,8.18599987030029,9.425466024,86,0,1
2001,52.236,36.6,450.0,3.49858928,,2.12800002098084,,87,1,0
2001,71.038,,44450.0,4.05162811,,19.6959991455078,24.63226793,88,1,2
2001,72.233,16.7,10850.0,4.19323874,,7.90000009536743,,89,0,1
2001,46.197,20.0,400.0,7.27745914,9.36505031585693,34.6349983215332,9.24941769,90,1,1
2001,71.65853658536585,2.5,11150.0,6.01339579,5.84758996963501,16.8400001525879,79.99395432,91,2,3
2001,77.82439024390246,2.5,9120.0,6.410923,3.53973007202148,1.80999994277954,90.92752336,92,2,3
2001,70.7609756097561,4.6,7360.0,5.7776227,5.44695997238159,13.8199996948242,52.41175179,93,2,3
2001,69.193,6.3,36270.0,4.12981606,,12.460000038147,32.48839106,94,1,1
2001,,,,1.76396823,,,100.0,95,2,3
2001,67.185,,7020.0,6.23449707,4.84684991836548,7.28999996185303,,96,2,2
2001,59.129,33.8,1670.0,4.75725555,2.707200050354,5.34999990463257,3.831344237,97,1,0
2001,70.964,,480.0,8.21364975,,2.99699997901917,,98,0,2
2001,74.658,3.3,378830.0,4.8203578,4.24104022979736,2.63000011444092,17.96506537,99,5,2
2001,,,110.0,16.35200119,,,,100,4,2
2001,73.43658536585367,7.5,8920.0,8.3815918,,30.5200004577637,12.89709303,101,2,2
2001,48.758,16.2,1610.0,4.51951408,2.65844988822937,6.30299997329712,6.76331851,102,1,0
2001,78.84390243902439,2.5,2490.0,6.99985981,,7.1100001335144,91.86797469,103,2,3
2001,60.377,37.6,8350.0,2.14881921,,0.674000024795532,58.92317706,104,0,1
2001,73.18751219512195,9.6,1670.0,,,28.7409992218018,,105,2,2
2001,63.319,31.1,8970.0,4.3172245,,6.21299982070923,33.71932288,106,0,1
2001,,,,,,,,107,4,3
2001,49.295,36.5,1410.0,2.95498824,,2.84299993515015,,108,1,0
2001,60.788,8.3,1400.0,3.57184672,2.10683989524841,9.82800006866455,,109,1,1
2001,71.7658536585366,5.7,2570.0,2.96084642,3.11486005783081,9.14000034332275,,110,1,2
2001,45.204,23.6,680.0,2.38508582,4.50897979736328,5.83500003814697,19.43719936,111,1,0
2001,72.782,2.5,129460.0,2.6753974,7.48446989059448,3.52999997138977,65.8615045,112,0,2
2001,51.399,13.5,2460.0,9.53211975,6.88886976242065,20.7959995269775,,113,1,2
2001,50.584,,670.0,4.75814819,2.27981996536255,1.47000002861023,6.548758476,114,1,0
2001,46.51,8.9,101950.0,3.18946958,,3.93499994277954,21.30050319,115,1,1
2001,69.934,27.5,3930.0,5.48459768,,7.44999980926514,,116,5,1
2001,78.19024390243904,2.5,167120.0,8.05946636,4.69964981079102,2.11999988555908,97.44117906,117,2,3
2001,78.78536585365853,2.5,34720.0,8.02202415,6.83062982559204,3.74000000953674,58.89494297,118,2,3
2001,62.945,23.5,3460.0,3.80386233,3.70837998390198,1.74600005149841,11.35443284,119,0,1
2001,,,80.0,15.50226688,,,,120,4,3
2001,78.69268292682928,2.5,31620.0,7.5789361,6.56049013137817,5.42999982833862,74.93483797,121,4,3
2001,72.58,12.3,28030.0,3.08315206,4.02031993865967,4.125,,122,0,3
2001,63.066,21.1,99840.0,2.70667124,,0.564999997615814,,123,0,1
2001,75.233,24.5,6220.0,6.8341074,4.10587978363037,3.81699991226196,,124,5,3
2001,71.505,21.5,26540.0,4.72161007,3.03712010383606,5.02600002288818,12.33495746,125,3,2
2001,68.835,18.7,70480.0,2.84775901,2.92463994026184,3.70000004768372,43.52262482,126,0,1
2001,,,220.0,7.8959136,7.707200050354,,,127,4,2
2001,59.487,26.3,3390.0,2.3006382,,2.80399990081787,,128,4,1
2001,74.2,2.5,293630.0,5.66721439,5.31902980804443,18.3700008392334,79.901623,129,2,3
2001,77.06682926829271,,,,,11.3999996185303,32.53629579,130,5,3
2001,76.81463414634149,2.5,61380.0,8.62751484,5.33713006973267,3.82999992370605,50.83873125,131,2,3
2001,70.786,10.5,3610.0,5.60815763,3.83357000350952,6.21000003814697,44.94455986,132,3,2
2001,77.612,,28650.0,2.3197093,3.20019006729126,0.846000015735626,71.1,133,0,3
2001,71.16097560975611,2.5,95230.0,4.37598133,3.26628994941711,6.55999994277954,51.9938812,134,2,3
2001,49.936,38.5,560.0,3.89250112,4.82785987854004,0.842999994754791,,135,1,0
2001,72.759,4.9,254090.0,4.46173573,7.71887016296387,4.61999988555908,37.28527113,136,0,3
2001,58.859,21.5,6250.0,3.36456847,,15.1800003051758,,137,1,0
2001,58.177,24.1,4460.0,3.67916536,2.47150993347168,5.60699987411499,14.2940866,138,1,1
2001,78.25121951219512,,42030.0,3.16302657,3.54249000549316,3.75999999046326,100.0,139,0,3
2001,67.816,13.3,250.0,6.60538769,,1.90699994564056,,140,4,1
2001,40.369,50.7,440.0,10.97251225,3.43271994590759,3.45700001716614,9.025286617,141,1,0
2001,69.162,7.2,5870.0,8.82467365,,6.96000003814697,,142,5,1
2001,,,,5.69305277,,,70.3715,143,2,3
2001,51.213,70.6,510.0,,,19.0380001068115,16.1518236,144,1,0
2001,72.23414634146341,3.1,45000.0,6.86061621,,12.8000001907349,22.40871639,145,2,2
2001,49.592,,530.0,,,12.0679998397827,,146,1,0
2001,62.017,14.7,50.0,10.83180332,,15.7299995422363,13.72840075,147,1,1
2001,67.913,11.8,1520.0,4.09541416,,11.9119997024536,29.70744826,148,3,2
2001,75.75853658536586,2.5,15380.0,7.87602425,5.7568302154541,5.67999982833862,26.72192345,149,2,3
2001,79.79512195121951,2.5,52500.0,7.90032959,6.61764001846313,4.73000001907349,93.04732631,150,2,3
2001,45.799,10.5,610.0,5.13895321,4.83824014663696,24.8290004730225,,151,1,1
2001,73.25365853658538,,320.0,5.39628124,,,,152,1,3
2001,47.789,38.8,340.0,5.29329205,2.42614006996155,0.810000002384186,8.625477197,153,1,0
2001,53.554,31.3,1180.0,2.88543582,3.76704001426697,4.01900005340576,5.71613038,154,1,0
2001,70.832,17.3,173160.0,3.02623773,4.81787014007568,2.59999990463257,20.05491674,155,0,2
2001,62.807,,2150.0,4.57802582,2.37659001350403,14.7729997634888,,156,0,1
2001,63.842,6.8,39120.0,8.14875412,,10.6750001907349,,157,0,2
2001,69.725,,90.0,3.54290938,4.47756004333496,4.33699989318848,33.24307437,158,4,2
2001,69.65,10.0,11620.0,4.0346489,3.06528997421265,10.8800001144409,,159,5,3
2001,73.415,4.4,21570.0,5.09929466,6.20184993743896,14.3999996185303,55.13118286,160,1,1
2001,,,10.0,19.18874931,,,4.741816934,161,4,2
2001,51.444,33.1,3130.0,4.2355175,,2.99000000953674,5.915949964,162,1,1
2001,47.22,,1300.0,5.03950405,,3.2739999294281,,163,1,0
2001,67.83707317073171,3.0,300550.0,5.72534418,4.52568006515503,11.0600004196167,42.36141509,164,2,1
2001,74.939,3.6,4950.0,9.79864407,2.80096006393433,15.0500001907349,,165,3,3
2001,76.83658536585367,2.5,5748260.0,13.16362572,,4.73000001907349,97.57210272,166,5,3
2001,67.374,17.9,125700.0,5.54972124,,11.2049999237061,,167,0,1
2001,73.228,19.7,56720.0,4.51130724,,2.75999999046326,,168,0,1
2001,67.583,7.5,90.0,3.39338827,8.95114994049072,1.875,,169,4,1
2001,69.103,3.5,160.0,3.93347454,3.82628989219666,4.96000003814697,47.81901745,170,4,1
